,AGS_0,Fläche_Name_1,y_forderungen
353,14522,Landkreis Mittelsachsen,20.002105503393025
354,14523,Landkreis Vogtlandkreis,11.602043722571501
355,14524,Landkreis Zwickau,11.35671738368891
356,14612,Kreisfreie Stadt Dresden,5.52929226719702
357,14625,Landkreis Bautzen,7.725042350360345
358,14626,Landkreis Görlitz,11.062664466451702
359,14627,Landkreis Meißen,13.224408494340743
360,14628,Landkreis Sächsische Schweiz-Osterzgebirge,11.808955987580465
361,14713,Kreisfreie Stadt Leipzig,2.6643059974182206
362,14729,Landkreis Leipzig,10.777820274266682
363,14730,Landkreis Nordsachsen,9.171367004537904
364,15001,Kreisfreie Stadt Dessau-Roßlau,5.298493743638142
365,15002,Kreisfreie Stadt Halle (Saale),3.240975127124663
366,15003,Kreisfreie Stadt Magdeburg,5.244924894935691
367,15081,Landkreis Altmarkkreis Salzwedel,19.574378243894024
368,15082,Landkreis Anhalt-Bitterfeld,7.6159574191633785
369,15083,Landkreis Börde,4.81781119639677
370,15084,Landkreis Burgenlandkreis,6.4957851378534075
371,15085,Landkreis Harz,8.09109145647842
372,15086,Landkreis Jerichower Land,8.622063529781522
373,15087,Landkreis Mansfeld-Südharz,7.260363717823701
374,15088,Landkreis Saalekreis,7.580196605188527
375,15089,Landkreis Salzlandkreis,7.8069340137754075
376,15090,Landkreis Stendal,6.352001950446797
377,15091,Landkreis Wittenberg,7.906553412945212
378,16051,Kreisfreie Stadt Erfurt,9.964815862013387
379,16052,Kreisfreie Stadt Gera,4.0341309252844715
380,16053,Kreisfreie Stadt Jena,7.045622246769848
381,16054,Kreisfreie Stadt Suhl,3.026065998720032
382,16055,Kreisfreie Stadt Weimar,4.4304779939364956
383,16061,Landkreis Eichsfeld,11.465554822076637
384,16062,Landkreis Nordhausen,7.590585884595178
385,16063,Landkreis Wartburgkreis,32.8634883785496
386,16064,Landkreis Unstrut-Hainich-Kreis,5.490391257001172
387,16065,Landkreis Kyffhäuserkreis,6.910118255844115
388,16066,Landkreis Schmalkalden-Meiningen,3.848461692527085
389,16067,Landkreis Gotha,6.040523849841996
390,16068,Landkreis Sömmerda,6.150335334066921
391,16069,Landkreis Hildburghausen,8.209391389764901
392,16070,Landkreis Ilm-Kreis,6.533198921746299
393,16071,Landkreis Weimarer Land,6.352049476420213
394,16072,Landkreis Sonneberg,11.593493278884328
395,16073,Landkreis Saalfeld-Rudolstadt,5.870208733795966
396,16074,Landkreis Saale-Holzland-Kreis,6.020557556289143
397,16075,Landkreis Saale-Orla-Kreis,8.118678540116372
398,16076,Landkreis Greiz,6.005403971891205
399,16077,Landkreis Altenburger Land,7.822563706242794
